Analysis,U_ppm,Th_ppm,Pb_ppm,Th/U,206Pb_cps,206Pb_204Pb,206Pb_204Pb_1s,208Pb_232Th,208Pb_232Th_2s,207Pb_235U,207Pb_235U_2s,206Pb_238U,206Pb_238U_2s,error_corr.,238U_206Pb,238U_206Pb_2s,207Pb_206Pb,207Pb_206Pb_2s,208Pb_232Th,208Pb_232Th_2s_(Ma),208Pb_232Th_2s-sys_(Ma),207Pb_206Pb,207Pb_206Pb_2s_(Ma),207Pb_206Pb_2s-sys_(Ma),207Pb_235U,207Pb_235U_2s_(Ma),207Pb_235U_2s-sys_(Ma),206Pb_238U,206Pb_238U_2s_(Ma),206Pb_238U_2s-sys_(Ma),disc._(%),±2s_(%),P,Ti,Y,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U,Ti-in-zircon_T(°C),Ce/Ce*,Eu/Eu*,?REE,(Gd/Yb)cn,Lu/Hf,Nb/Ta,Nb/U,Nb/Th,Th/U,Th/Y,Hf/Y,Nb/Yb,U/Yb,Experiment
IR22-1 L 70,1116,487,2.32,0.436,2214,110,2,0.00055,16.06953603,0.014865837,12.7451648,0.001769117,3.763068939,0.292887677,565.25,3.8,0.06094,12.2,11,1.77,1.8,637,262,262,15,1.9,1.91,11.4,0.428,0.452,24,10,517,2.36,5018,12.1,0.02,24.8,0.299,5.77,16.1,1.35,107,40.3,498,191,767,158,1244,224,5178,3.2,487,1116,665,79.61,0.1,3279.37,0.07,0.04,3.77,0.01,0.02,0.44,0.1,1.03,0.01,0.897,Zircon_07Sep22_Hodgin_1
IR22-1 L 71,1528,713,3.3,0.467,2951,114,5,0.00069,15.57521201,0.016952697,14.76418278,0.001753098,5.499387029,0.371086046,570.42,5.5,0.07013,13.7,13.9,2.17,2.21,932,281,281,17.1,2.5,2.51,11.3,0.62,0.636,33.8,10.3,472,7,7524,16.7,3.87,48.1,2.02,20.9,30.4,1.29,184,65,785,294,1166,220,1766,293,5156,3.81,713,1528,761,4.22,0.05,4879.68,0.09,0.06,4.4,0.01,0.02,0.47,0.09,0.69,0.009,0.865,Zircon_07Sep22_Hodgin_1
IR22-1 L 72,925,386,1.94,0.417,1881,240,7,0.00057,20.33736902,0.012082427,16.61812896,0.001813902,5.267528607,0.315680692,551.3,5.3,0.04831,15.8,11.5,2.33,2.36,115,372,372,12.2,2.01,2.02,11.7,0.615,0.632,4.2,16.6,234,4.93,4611,12.1,0.295,33.9,0.25,4.68,13.7,0.902,103,37.6,457,167,672,132,1035,186,5082,3.52,386,925,728,30.61,0.07,2844.16,0.08,0.04,3.43,0.01,0.03,0.42,0.08,1.1,0.012,0.894,Zircon_07Sep22_Hodgin_1
IR22-1 L 75,1010,452,2.12,0.447,2068,288,6,0.0006,18.99670541,0.013158686,14.12156646,0.001767405,3.484982272,0.244484301,565.8,3.5,0.054,13.7,12.1,2.3,2.33,371,308,308,13.3,1.86,1.87,11.4,0.396,0.421,14.2,12.4,310,3.26,6009,9.09,0.157,24.3,0.344,7.46,20.2,1.63,133,48,581,217,902,175,1426,244,5177,3.05,452,1010,692,25.67,0.1,3779.28,0.08,0.05,2.98,0.01,0.02,0.45,0.08,0.86,0.006,0.708,Zircon_07Sep22_Hodgin_1
IR22-1 L 76,1588,635,3.32,0.4,3233,480,12,0.00068,14.62289046,0.011862196,12.38882755,0.001767782,4.382838643,0.351689323,565.68,4.4,0.04867,11.6,13.7,2,2.04,132,272,273,12,1.47,1.48,11.4,0.499,0.519,4.9,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zircon_07Sep22_Hodgin_1
IR22-1 L 77,2221,1307,4.63,0.588,4341,4341,88,0.00053,10.90900056,0.010308046,11.75620185,0.001730234,5.163556953,0.437356082,577.96,5.2,0.04321,10.6,10.8,1.17,1.22,-156,262,263,10.4,1.22,1.23,11.1,0.575,0.592,-7,13.7,406,2.12,4801,28.2,,45.7,0.148,3.99,12.9,0.887,101,37.6,463,177,737,142,1134,193,5291,8.21,1307,2221,657,303.37,0.08,3047.14,0.07,0.04,3.44,0.01,0.02,0.59,0.27,1.1,0.025,1.959,Zircon_07Sep22_Hodgin_1
IR22-1 L 78,2160,1088,4.5,0.504,4234,2758,76,0.00049,11.97860968,0.011353195,11.99861003,0.001789724,3.81618295,0.315581902,558.75,3.8,0.04601,11.4,9.87,1.18,1.22,-2,274,275,11.5,1.37,1.38,11.5,0.439,0.463,-0.6,12.6,606,3.16,11082,23.6,,47.7,0.593,12.9,35.8,1.33,267,95.8,1142,409,1667,318,2515,413,5386,4.76,1088,2160,689,78.83,0.04,6925.03,0.09,0.08,4.96,0.01,0.02,0.5,0.1,0.49,0.009,0.859,Zircon_07Sep22_Hodgin_1
IR22-1 L 79,2799,2065,5.94,0.738,5375,101,2,0.00051,12.01154573,0.012073563,8.586403429,0.001689242,4.78111035,0.554068943,591.98,4.8,0.05184,7.1,10.3,1.24,1.28,278,163,164,12.2,1.04,1.05,10.9,0.52,0.538,10.7,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zircon_07Sep22_Hodgin_1
IR22-1 L 80,1376,591,2.83,0.429,2698,375,8,0.00065,14.04254021,0.013308845,16.78526433,0.001719848,4.083272109,0.241615884,581.45,4.1,0.05612,16.3,13.1,1.84,1.88,457,361,361,13.4,2.24,2.25,11.1,0.452,0.473,17.5,14.2,665,7.98,5471,17.8,0.463,31.7,0.361,6.84,14.2,1.13,120,42,535,212,868,170,1366,232,4980,4.94,591,1376,773,19.01,0.08,3600.05,0.07,0.05,3.59,0.01,0.03,0.43,0.11,0.91,0.013,1.008,Zircon_07Sep22_Hodgin_1
IR22-1 L 81,985,368,1.97,0.373,1806,32,1,0.00065,20.67267113,0.011551183,18.4592229,0.001712951,5.372172369,0.289890672,583.79,5.4,0.04891,17.7,13.1,2.72,2.75,143,414,415,11.7,2.14,2.15,11,0.592,0.608,5.4,18.1,321,2.44,2859,14.4,0.082,22.8,0.203,3.34,8.06,0.567,61.7,19.7,265,103,423,83.7,710,128,5897,5.25,368,985,668,43.3,0.08,1827.87,0.07,0.02,2.73,0.01,0.04,0.37,0.13,2.06,0.02,1.388,Zircon_07Sep22_Hodgin_1
IR22-1 M 151,1100,507,2.24,0.461,2311,2502,57,0.0006,17.42321304,0.011970781,19.572604,0.001679367,5.771284072,0.291439273,595.46,5.8,0.0517,18.7,12.1,2.1,2.14,272,429,429,12.1,2.35,2.36,10.8,0.624,0.632,10.5,18.2,304,5.9,5946,12.8,0.381,29.6,0.378,6.78,19.4,1.23,134,49.4,617,224,921,179,1464,251,3466,3.39,507,1100,744,19.11,0.07,3898.1,0.08,0.07,3.78,0.01,0.03,0.46,0.09,0.58,0.009,0.751,Zircon_07Sep22_Hodgin_2
IR22-1 M 153,776,418,1.61,0.539,1606,126,4,0.0004,24.37689204,0.013434499,18.56538231,0.001755251,6.33214133,0.337780335,569.72,6.3,0.05551,17.5,8.17,1.99,2.01,433,389,389,13.6,2.5,2.5,11.3,0.715,0.723,16.6,16.3,269,3.5,6315,6.19,0.469,30.1,1.09,17.7,32.5,3.95,188,57.8,660,234,944,178,1510,266,3057,1.71,418,776,698,10.33,0.15,4124.18,0.1,0.09,3.62,0.01,0.01,0.54,0.07,0.48,0.004,0.514,Zircon_07Sep22_Hodgin_2
IR22-1 M 156,1237,550,2.56,0.444,2903,38,1,0.00056,15.52069962,0.011914762,28.92057315,0.001732531,5.256860407,0.179223005,577.19,5.3,0.04988,28.4,11.4,1.77,1.81,189,662,662,12,3.46,3.46,11.2,0.586,0.595,7.2,27.1,475,4.51,5730,7.09,0.156,27.4,0.758,13.8,27.1,3.67,140,48.5,547,217,882,169,1516,257,2898,2.19,550,1237,720,19.52,0.18,3848.41,0.08,0.09,3.24,0.01,0.01,0.44,0.1,0.51,0.005,0.816,Zircon_07Sep22_Hodgin_2
IR22-1 M 159,746,354,1.53,0.475,1586,1586,69,0.0005,30.94066521,0.012639204,23.28139325,0.001718132,4.44945837,0.187379965,582.03,4.4,0.05335,22.9,10.1,3.11,3.13,344,517,517,12.8,2.95,2.95,11.1,0.492,0.502,13.2,20.4,248,5.49,5624,4.34,0.15,19.8,1.11,19.1,36.5,8.28,175,54.9,638,220,882,176,1480,273,2556,1.09,354,746,738,11.89,0.32,3984.93,0.1,0.11,3.98,0.01,0.01,0.47,0.06,0.45,0.003,0.504,Zircon_07Sep22_Hodgin_2
IR22-1 M 161,2014,1149,4.15,0.571,4175,367,8,0.00051,9.071313983,0.01264163,11.06727112,0.001674492,3.482185124,0.304594215,597.2,3.5,0.05475,10.5,10.3,0.938,0.998,402,235,236,12.8,1.4,1.41,10.8,0.375,0.388,15.4,9.8,438,3.97,6442,34.2,0.151,56.5,0.241,6.33,18,1.31,141,52.4,642,233,944,188,1511,257,3418,7.52,1149,2014,709,72.79,0.08,4051.29,0.08,0.08,4.54,0.02,0.03,0.57,0.18,0.53,0.023,1.333,Zircon_07Sep22_Hodgin_2
IR22-1 M 162,2901,1877,6.56,0.647,6183,1700,25,0.0006,7.677501345,0.014077194,7.903115135,0.001768918,3.15501003,0.383687092,565.32,3.2,0.05772,7.2,12.2,0.938,1.02,519,159,160,14.2,1.11,1.13,11.4,0.359,0.374,19.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zircon_07Sep22_Hodgin_2
IR22-1 M 165,3396,2843,7.71,0.837,7033,7033,108,0.00055,6.447929004,0.01128576,6.731816987,0.001730321,3.091760847,0.440677513,577.93,3.1,0.0473,6,11.1,0.713,0.801,64.6,142,144,11.4,0.763,0.776,11.1,0.344,0.359,2.2,7.2,332,19.6,11927,113,0.484,171,2.8,41.2,71.3,1.49,331,116,1262,415,1568,295,2372,361,3192,26.6,2843,3396,871,36.06,0.03,7008.63,0.12,0.11,4.24,0.03,0.04,0.84,0.24,0.27,0.047,1.432,Zircon_07Sep22_Hodgin_2
IR22-1 M 166,3414,1955,7.21,0.573,6757,3687,74,0.00061,10.30358385,0.012501425,9.408335887,0.001672971,4.361142649,0.454105731,597.74,4.4,0.0542,8.3,12.3,1.27,1.33,379,187,189,12.6,1.18,1.19,10.8,0.47,0.48,14.6,8.8,545,6.07,9886,78.5,2.23,105,5.53,50.4,62.9,1.09,243,80.5,929,320,1306,256,2098,340,3029,25.9,1955,3414,747,7.31,0.03,5798.74,0.1,0.11,3.03,0.02,0.04,0.57,0.2,0.31,0.037,1.627,Zircon_07Sep22_Hodgin_2
IR22-1 M 168,3458,2800,7.66,0.81,6956,450,7,0.00057,8.057951929,0.012479668,8.861551386,0.00166385,3.285846515,0.357503178,601.02,3.3,0.0544,8.2,11.5,0.928,1,388,185,186,12.6,1.11,1.12,10.7,0.352,0.365,14.9,8,326,18.7,12423,105,1.38,200,3.97,54.9,89.7,1.81,411,134,1444,432,1619,310,2344,357,3300,20.2,2800,3458,865,20.89,0.03,7402.41,0.15,0.11,5.22,0.03,0.04,0.81,0.23,0.27,0.045,1.475,Zircon_07Sep22_Hodgin_2
IR22-1 S 15,409,159,0.802,0.389,817,187,11,0.00035,43.96986701,0.011309012,28.28513781,0.001742863,7.563941422,0.267417521,573.77,7.6,0.04706,27.3,7.09,3.12,3.14,52.3,650,651,11.4,3.21,3.22,11.2,0.848,0.887,1.7,28.6,115,2.2,2373,3.49,,9.66,0.223,5.78,11.1,0.736,63.3,22,250,93.7,380,83.5,710,113,6189,0.974,159,409,660,42.44,0.08,1743.43,0.07,0.02,3.58,0.01,0.02,0.39,0.07,2.61,0.005,0.576,Zircon_01Sep22_Hodgin
IR22-1 S 16,710,263,1.53,0.371,1299,43,1,0.00092,21.83617655,0.011561811,21.67023697,0.001727005,10.29680338,0.475158781,579.04,10.3,0.04855,19.1,18.5,4.04,4.17,126,449,449,11.7,2.51,2.53,11.1,1.14,1.17,4.7,22.8,177,1.88,3206,9.19,,24.6,0.165,5.62,11.5,1.02,75,27.2,312,120,490,100,932,139,6690,2.21,263,710,647,145.69,0.11,2238.17,0.07,0.02,4.15,0.01,0.03,0.37,0.08,2.09,0.01,0.761,Zircon_01Sep22_Hodgin
IR22-1 S 18,382,343,13.3,0.898,10808,10808,412,0.00875,8.038608927,0.175167651,10.20151058,0.025752737,6.886772809,0.675073829,38.83,6.9,0.04933,7.5,176,14.1,17.2,164,176,177,164,15.4,15.9,164,11.1,11.7,0,11.6,319,4.75,1092,2.64,0.016,30.9,0.09,1.46,4.94,0.869,21.2,8,95.3,38.1,189,44.4,424,78.9,8804,1.65,343,382,724,205.01,0.26,936.79,0.04,0.01,1.6,0.01,0.01,0.9,0.31,8.06,,,Zircon_01Sep22_Hodgin
IR22-1 S 19,3222,2029,6.9,0.63,5832,5832,148,0.00055,9.198617345,0.009171157,15.67126188,0.001726494,5.241267104,0.334450866,579.21,5.2,0.03853,14.8,11.1,1.02,1.2,-449,389,389,9.27,1.45,1.46,11.1,0.582,0.636,-20,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zircon_01Sep22_Hodgin
IR22-1 S 20,2772,1582,5.74,0.571,4767,534,12,0.00055,11.91497745,0.011048493,10.96585391,0.001676748,4.715527571,0.430019186,596.39,4.7,0.04779,9.9,11.1,1.32,1.46,88.9,235,235,11.2,1.22,1.25,10.8,0.509,0.566,3.2,11.5,228,4.1,5998,59.2,0.164,67.4,1.09,15.8,33.6,0.816,157,55.7,666,220,897,187,1614,239,11086,23.6,1582,2772,711,39.07,0.03,4154.24,0.08,0.02,2.51,0.02,0.04,0.57,0.26,1.85,0.037,1.717,Zircon_01Sep22_Hodgin
IR22-1 S 21,3236,2774,7.48,0.857,5376,177,4,0.00064,8.326456461,0.010564308,14.85409579,0.001690356,6.602262826,0.444474232,591.59,6.6,0.04533,13.3,12.9,1.07,1.29,-38,323,323,10.7,1.58,1.6,10.9,0.718,0.76,-2,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zircon_01Sep22_Hodgin
IR22-1 S 23,1105,559,2.28,0.506,1768,73,2,0.00061,22.23518378,0.012447139,19.46988116,0.001670927,5.755744525,0.295622992,598.47,5.8,0.05403,18.6,12.3,2.72,2.81,372,419,419,12.6,2.43,2.45,10.8,0.619,0.666,14.3,17.3,373,2.6,4755,15.2,0.089,33.6,0.309,6.74,15.4,0.644,115,40.3,474,171,708,137,1113,192,8607,4.32,559,1105,673,49.77,0.05,3006.75,0.09,0.02,3.53,0.01,0.03,0.51,0.12,1.81,0.014,0.993,Zircon_01Sep22_Hodgin
IR22-1 S 24,3229,2547,7.39,0.789,5308,1098,46,0.00059,10.61969424,0.009795053,12.27936686,0.001753487,4.025058159,0.327790366,570.29,4,0.04051,11.6,11.9,1.26,1.43,-318,298,298,9.9,1.21,1.23,11.3,0.454,0.523,-14.1,14.7,338,16.5,10921,101,0.382,170,3,41.5,77.1,1.53,348,118,1227,405,1496,284,2394,345,9326,21,2547,3229,850,38.9,0.03,6910.48,0.12,0.04,4.79,0.03,0.04,0.79,0.23,0.85,0.042,1.349,Zircon_01Sep22_Hodgin
IR22-1 S 25,2472,1985,5.34,0.803,3994,68,4,0.00052,14.56908047,0.01188152,12.89012239,0.001655165,5.657696022,0.438917169,604.17,5.7,0.05206,11.6,10.6,1.54,1.65,288,265,265,12,1.54,1.56,10.7,0.603,0.65,11.1,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zircon_01Sep22_Hodgin
IR22-1 S 26,727,435,1.5,0.598,1223,41,2,0.00044,21.14330679,0.011403463,26.38213724,0.001717147,7.801297265,0.295703763,582.36,7.8,0.04816,25.2,8.99,1.9,1.97,107,595,596,11.5,3.02,3.03,11.1,0.862,0.898,3.9,26.3,341,10.8,5812,5.9,0.101,12.6,0.495,12.9,26.7,3.26,168,52.8,624,210,845,160,1333,238,6391,1.74,435,727,805,13.81,0.15,3687.48,0.1,0.04,3.4,0.01,0.01,0.6,0.07,1.1,0.004,0.545,Zircon_01Sep22_Hodgin
IR22-1 S 27,3429,2324,7.36,0.678,5713,6284,75,0.00051,9.865116704,0.011142023,11.94207652,0.001717868,3.627577307,0.303764366,582.12,3.6,0.04704,11.4,10.4,1.02,1.18,51.3,272,272,11.3,1.34,1.36,11.1,0.401,0.474,1.7,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zircon_01Sep22_Hodgin
IR22-1 S 28,5377,3855,11.6,0.717,9154,9154,206,0.00061,5.397037544,0.013691843,10.98023759,0.001621753,4.541210647,0.413580363,616.62,4.5,0.06123,10,12.3,0.664,0.963,647,215,215,13.8,1.51,1.54,10.4,0.474,0.531,24.3,8.9,385,15.7,8265,285,0.535,215,1.43,21,43,0.983,215,77.8,842,289,1201,236,2175,306,10764,83.8,3855,5377,845,60.31,0.03,5624.58,0.08,0.03,3.4,0.05,0.07,0.72,0.47,1.3,0.131,2.472,Zircon_01Sep22_Hodgin
IR22-1 S 29,926,503,1.94,0.543,1639,401,23,0.00056,18.83034686,0.010063127,25.62482336,0.00171695,7.287965338,0.284410364,582.43,7.3,0.04251,24.6,11.3,2.12,2.21,-196,615,615,10.2,2.59,2.6,11.1,0.805,0.844,-8.8,28.8,326,5.41,6346,5.06,0.07,21.1,1.03,19.6,37.1,9.89,198,60.9,694,236,977,195,1716,285,5534,1.12,503,926,736,19.41,0.35,4451.29,0.1,0.05,4.54,0.01,0.01,0.54,0.08,0.87,0.003,0.54,Zircon_01Sep22_Hodgin
IR22-1 S 31,2117,1058,4.59,0.5,3724,283,5,0.00059,19.76200467,0.012350086,13.47291926,0.001784323,5.024897967,0.37296282,560.44,5,0.0502,12.5,12,2.36,2.46,204,290,290,12.5,1.67,1.69,11.5,0.577,0.634,7.8,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zircon_01Sep22_Hodgin
IR22-1 S 32,3597,2810,8.16,0.781,6223,268,12,0.00055,10.70494325,0.011300481,11.32082788,0.001757618,6.204611886,0.548070508,568.95,6.2,0.04663,9.5,11.1,1.19,1.35,30.4,227,227,11.4,1.28,1.31,11.3,0.702,0.748,0.8,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zircon_01Sep22_Hodgin
IR22-1 S 33,1146,603,2.38,0.527,2046,7114,288,0.00051,17.34920737,0.011520993,16.40644565,0.001726192,6.341673488,0.386535489,579.31,6.3,0.04841,15.1,10.4,1.8,1.89,119,357,357,11.6,1.9,1.92,11.1,0.704,0.749,4.4,16.7,568,7.48,5308,10.4,2.07,32.7,1.37,15.4,26.4,1.68,149,47.6,559,191,815,156,1411,208,6674,2.86,603,1146,767,4.76,0.08,3617.33,0.09,0.03,3.63,0.01,0.02,0.53,0.11,1.26,0.007,0.812,Zircon_01Sep22_Hodgin
