Specimen,BM22-1,BM22-2,BM22-3,IR22-1,IR22-2
SiO2,76.93,76.78,76.16,78.38,77.36
TiO2,0.13,0.12,0.12,0.11,0.12
Al2O3,13.61,13.49,14.31,12.71,12.93
Fe2O3T,0.56,0.60,0.39,0.35,0.37
MnO,0.00,0.00,0.00,0.00,0.00
MgO,0.19,0.27,0.25,0.09,0.07
CaO,0.39,0.52,0.50,0.33,0.38
Na2O,3.43,3.73,3.37,3.68,4.11
K2O,4.24,4.42,4.77,3.85,4.34
P2O5,0.02,0.01,0.02,0.07,0.04
Total,99.50,99.94,99.89,99.57,99.72
LOI,3.03,1.89,2.52,1.57,1.22
Rb,162.9,166.8,161.7,133.8,149.6
Sr,24,36,35,32,37
Y,38.6,42.7,26.6,58.8,56.1
Zr,185,159,161,297,297
V,8,9,6,4,4
Ni,8,3,2,2,<2
Cr,15,14,5,3,5
Nb,10.5,10.2,9.8,14.4,14.6
Ga,22.2,21.4,22.6,22.9,22.4
Cu,4,2,<2,<2,5
Zn,36,30,23,22,23
Co,<2,<2,<2,<2,<2
Ba,479,558,480,720,788
La,34,35,27,35,27
Ce,60,53,61,77,46
U,6.5,5.8,5.9,5.6,6.8
Th,18.6,18.3,17.9,15.4,12.8
Sc,4,3,<2,3,3
Pb,23,23,21,21,24